Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,25.139592,-13.38,180.0,top
C2,0.1uF,C_0402_1005Metric,39.03,-4.92,-90.0,top
C3,0.1uF,C_0402_1005Metric,53.18,-4.91,-90.0,top
C4,0.1uF,C_0402_1005Metric,59.089592,-10.388882,180.0,top
C5,0.1uF,C_0402_1005Metric,18.999592,-5.488882,180.0,top
C6,0.1uF,C_0402_1005Metric,16.69,-7.98,180.0,top
C7,0.1uF,C_0402_1005Metric,11.844592,-12.388882,-90.0,top
C8,1uF,C_0603_1608Metric,30.893668,-11.746607,180.0,top
C9,0.1uF,C_0402_1005Metric,30.844592,-10.533882,180.0,top
C10,0.1uF,C_0402_1005Metric,27.544592,-18.958882,-90.0,top
C11,4.7nF,C_0603_1608Metric,22.919592,-23.178882,-90.0,top
C12,10pF,C_0603_1608Metric,25.369592,-27.258882,-90.0,top
C13,10pF,C_0603_1608Metric,20.309592,-27.268882,90.0,top
C14,0.1uF,C_0402_1005Metric,55.98,-22.88,180.0,top
C15,22nF,C_0603_1608Metric,80.5,-17.83,0.0,top
C16,1uF,C_0603_1608Metric,18.429592,-6.678882,180.0,top
C17,10pF,C_0603_1608Metric,47.839592,-16.428882,-90.0,top
C18,0.1uF,C_0402_1005Metric,50.59,-20.86,0.0,top
C19,0.1uF,C_0402_1005Metric,38.54,-7.7,-90.0,top
C20,10pF,C_0603_1608Metric,50.514592,-11.553882,180.0,top
C21,0.1uF,C_0402_1005Metric,50.6,-19.94,0.0,top
C22,0.1uF,C_0402_1005Metric,50.59,-19.02,0.0,top
C23,10uF,C_0805_2012Metric,77.19,-12.55,0.0,top
C24,0.1uF,C_0402_1005Metric,73.759592,-14.038882,0.0,top
C25,22uF,C_0805_2012Metric,73.48,-33.27,0.0,top
C26,0.1uF,C_0402_1005Metric,72.69,-31.82,0.0,top
C27,10uF,C_0805_2012Metric,46.14,-30.06,90.0,top
C28,0.1uF,C_0402_1005Metric,55.559592,-32.698882,0.0,top
C29,10uF,C_0805_2012Metric,64.319592,-36.448882,-90.0,top
C30,10uF,C_0805_2012Metric,62.349592,-36.448882,-90.0,top
C31,100uF,C_1206_3216Metric,60.194592,-36.983882,-90.0,top
C32,100uF,C_1206_3216Metric,57.869592,-36.983882,-90.0,top
D1,BAT54S,SOT-23,22.309592,-6.148882,90.0,top
D2,BAT54S,SOT-23,44.17,-3.3375,-90.0,top
D3,BAT54S,SOT-23,47.5725,-3.33,-90.0,top
D4,BAT54S,SOT-23,56.21,-11.78,-90.0,top
D5,PSM712-LF-T7,SOT-23,22.894592,-26.833882,90.0,top
D6,Red LED,LED_0805_2012Metric,59.23,-31.54,-90.0,top
D7,SS14,D_SMA,77.14,-17.09,90.0,top
D8,Green LED,LED_0805_2012Metric,61.28,-31.54,-90.0,top
D9,SMF24CA,D_SOD-123F,40.44,-31.1725,-90.0,top
D10,SS34,D_SMA,43.4,-28.9075,90.0,top
D11,SS210,D_SMA,45.4675,-35.34,180.0,top
F1,0154005.DRT,Fuseholder_Littelfuse_Nano2_154x,36.09,-26.14,180.0,top
J13,I2C,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,81.84,-10.39,90.0,top
J17,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_XKB_U262-16XN-4BVC11,73.049592,-6.518882,180.0,top
L1,GZ1608D601TF,L_0603_1608Metric,19.0975,-8.26,180.0,top
L2,GZ1608D601TF,L_0603_1608Metric,48.199592,-19.278882,180.0,top
L3,22uH,SMMS0530,53.209592,-36.178882,0.0,top
Q1,BSS138,SOT-23,61.05,-26.87,0.0,top
R1,2.37K,R_0603_1608Metric,25.68,-12.13,180.0,top
R2,2.37K,R_0603_1608Metric,40.97,-5.0875,0.0,top
R3,2.37K,R_0603_1608Metric,50.77,-5.06,180.0,top
R4,2.37K,R_0603_1608Metric,61.479592,-10.648882,0.0,top
R5,2.37K,R_0603_1608Metric,22.689592,-3.428882,180.0,top
R6,2.37K,R_0603_1608Metric,40.97,-3.6075,180.0,top
R7,2.37K,R_0603_1608Metric,50.26,-2.85,90.0,top
R8,2.37K,R_0603_1608Metric,64.449592,-10.648882,0.0,top
R9,4.7K,R_0603_1608Metric,19.72,-3.43,0.0,top
R10,4.7K,R_0603_1608Metric,40.98,-2.1475,180.0,top
R11,4.7K,R_0603_1608Metric,51.98,-2.84,90.0,top
R12,4.7K,R_0603_1608Metric,67.41,-10.83,180.0,top
R13,10K,R_0603_1608Metric,18.16,-16.56,180.0,top
R14,10K,R_0603_1608Metric,12.894592,-18.083882,0.0,top
R15,10K,R_0603_1608Metric,12.894592,-16.583882,0.0,top
R16,430R,R_0603_1608Metric,19.844592,-13.45,-90.0,top
R17,4.3K,R_0603_1608Metric,19.83,-10.49,90.0,top
R18,0R,R_0603_1608Metric,33.61,-20.65,180.0,top
R19,0R,R_0603_1608Metric,28.09,-20.63,180.0,top
R20,120R,R_0603_1608Metric,24.469592,-23.178882,90.0,top
R21,0R,R_0603_1608Metric,21.369592,-23.158882,90.0,top
R22,4.7K,R_0603_1608Metric,73.27,-20.05,-90.0,top
R23,4.7K,R_0603_1608Metric,71.81,-20.06,90.0,top
R24,10K,R_0603_1608Metric,80.5,-20.75,0.0,top
R25,10K,R_0603_1608Metric,51.93,-22.82,90.0,top
R26,10K,R_0603_1608Metric,57.62,-23.9,90.0,top
R27,1K,R_0603_1608Metric,80.5,-19.29,180.0,top
R28,1.5K,R_0603_1608Metric,58.52,-33.95,180.0,top
R29,10R,R_0603_1608Metric,48.199592,-20.738882,180.0,top
R30,10K,R_0603_1608Metric,58.4,-26.99,-90.0,top
R31,10K,R_0603_1608Metric,64.45,-25.9,180.0,top
R32,2K,R_0603_1608Metric,47.839592,-13.428882,-90.0,top
R33,5.1K,R_0603_1608Metric,75.839592,-10.838882,180.0,top
R34,1.5K,R_0603_1608Metric,61.48,-33.95,180.0,top
R35,10K,R_0603_1608Metric,54.879592,-26.848882,180.0,top
R36,3.3K,R_0603_1608Metric,51.879592,-26.858882,180.0,top
SW1,SW_RESET,SW_Push_1P1T_XKB_TS-1187A,55.54,-18.668882,90.0,top
U1,MAX31865xTP,TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm,15.679592,-12.723293,-90.0,top
U2,SN65HVD1050D,SOIC-8_3.9x4.9mm_P1.27mm,30.86,-16.18,-90.0,top
U3,STM32G0B1CBTx,LQFP-48_7x7mm_P0.5mm,40.904592,-15.891382,180.0,top
U4,USBLC6-2P6,SOT-666,73.094592,-11.798882,-90.0,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,67.379592,-31.118882,0.0,top
U6,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,50.879592,-30.378882,180.0,top
Y1,Crystal,Crystal_SMD_5032-2Pin_5.0x3.2mm,50.539592,-15.428882,90.0,top
